GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,com.buildwithrani.backend.product.mapper,ProductMapper,0,40,0,2,0,14,0,3,0,2
backend,com.buildwithrani.backend.auth.config,SecurityConfig,8,185,0,0,2,34,2,11,2,11
backend,com.buildwithrani.backend.audit.entity,AuditLog,4,21,0,0,2,8,1,1,1,1
backend,com.buildwithrani.backend.audit.aspect,AuditAspect,232,0,38,0,48,0,22,0,3,0
backend,com.buildwithrani.backend.cart.entity,CartItem,0,51,0,6,0,17,0,7,0,4
backend,com.buildwithrani.backend.cart.entity,Cart,0,89,0,2,0,24,0,10,0,9
backend,com.buildwithrani.backend.bootstrap,DataSeeder,227,34,3,3,77,10,6,2,3,2
backend,com.buildwithrani.backend.product.controller,AdminProductController,0,92,0,0,0,33,0,7,0,7
backend,com.buildwithrani.backend.product.controller,ProductController,0,19,0,0,0,4,0,4,0,4
backend,com.buildwithrani.backend.audit.enums,ActorRole,0,15,0,0,0,3,0,1,0,1
backend,com.buildwithrani.backend.payment.config,RazorpayConfig,0,11,0,0,0,2,0,2,0,2
backend,com.buildwithrani.backend.product.service,ProductServiceImpl,39,271,6,12,2,77,9,17,4,13
backend,com.buildwithrani.backend.payment.gateway,RazorpayGateway,6,60,0,0,1,15,0,3,0,3
backend,com.buildwithrani.backend.product.entity,Product,9,119,2,14,3,37,3,13,1,7
backend,com.buildwithrani.backend.audit.controller,AuditController,0,21,0,6,0,6,0,4,0,1
backend,com.buildwithrani.backend.order.enums,OrderStatus,0,54,0,4,0,9,0,5,0,3
backend,com.buildwithrani.backend.order.enums,OrderStatus.new OrderStatus() {...},3,5,0,0,1,1,1,1,1,1
backend,com.buildwithrani.backend.order.enums,OrderStatus.new OrderStatus() {...},3,5,0,0,1,1,1,1,1,1
backend,com.buildwithrani.backend.order.enums,OrderStatus.new OrderStatus() {...},0,9,0,0,0,2,0,2,0,2
backend,com.buildwithrani.backend.order.enums,OrderStatus.new OrderStatus() {...},0,8,0,0,0,2,0,2,0,2
backend,com.buildwithrani.backend.order.enums,OrderStatus.new OrderStatus() {...},3,5,0,0,1,1,1,1,1,1
backend,com.buildwithrani.backend.order.enums,OrderStatus.new OrderStatus() {...},3,5,0,0,1,1,1,1,1,1
backend,com.buildwithrani.backend.order.enums,PaymentStatus,0,33,0,0,0,6,0,1,0,1
backend,com.buildwithrani.backend.common.dto,ApiResponse,7,41,0,0,1,12,1,7,1,7
